,word,CLINTON,O'MALLEY,SANDERS,Total
1355,rating,0.0,0.029411764705882353,0.0,0.011904761904761904
1356,flipflopping,0.0,0.029411764705882353,0.0,0.011904761904761904
1357,perpetrators,0.0,0.029411764705882353,0.0,0.011904761904761904
1358,participant,0.0,0.029411764705882353,0.0,0.011904761904761904
1359,friendly,0.0,0.029411764705882353,0.0,0.011904761904761904
1360,friday,0.0,0.029411764705882353,0.0,0.011904761904761904
1361,safeguards,0.0,0.029411764705882353,0.0,0.011904761904761904
1362,cabinet,0.0,0.029411764705882353,0.0,0.011904761904761904
1363,replace,0.0,0.029411764705882353,0.0,0.011904761904761904
1364,unscrupulous,0.0,0.029411764705882353,0.0,0.011904761904761904
1365,declaring,0.0,0.029411764705882353,0.0,0.011904761904761904
1366,sad,0.0,0.029411764705882353,0.0,0.011904761904761904
1367,worst,0.0,0.029411764705882353,0.06451612903225806,0.03571428571428571
1368,red,0.0,0.029411764705882353,0.0,0.011904761904761904
1369,accomplished,0.0,0.029411764705882353,0.0,0.011904761904761904
1370,mosaddegh,0.0,0.029411764705882353,0.0,0.011904761904761904
1371,emerging,0.0,0.029411764705882353,0.0,0.011904761904761904
1372,ability,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1373,oldest,0.0,0.029411764705882353,0.0,0.011904761904761904
1374,district,0.0,0.029411764705882353,0.0,0.011904761904761904
1375,pleas,0.0,0.029411764705882353,0.0,0.011904761904761904
1376,moral,0.0,0.029411764705882353,0.0,0.011904761904761904
1377,loan,0.0,0.029411764705882353,0.0,0.011904761904761904
1378,ecosystem,0.0,0.029411764705882353,0.0,0.011904761904761904
1379,steagall,0.0,0.029411764705882353,0.0,0.011904761904761904
1380,refinance,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1381,develop,0.0,0.029411764705882353,0.0,0.011904761904761904
1382,cia,0.0,0.029411764705882353,0.0,0.011904761904761904
1383,30year,0.0,0.029411764705882353,0.0,0.011904761904761904
1384,board,0.0,0.029411764705882353,0.0,0.011904761904761904
